auction_date,type,term,cusip,reopening,offering_amount
2005-06-08,Note,5-Year,912828DX5,No,14000000000
2005-06-09,Note,9-Year 11-Month,912828DV9,Yes,8000000000
2005-06-29,Note,2-Year,912828DY3,No,20000000000
2005-07-13,Note,5-Year,912828DZ0,No,13000000000
2005-07-27,Note,2-Year,912828EB2,No,20000000000
2005-08-08,Note,3-Year,912828EC0,No,18000000000
2005-08-10,Note,5-Year,912828ED8,No,13000000000
2005-08-11,Note,10-Year,912828EE6,No,13000000000
2005-08-24,Note,2-Year,912828EF3,No,20000000000
2005-09-07,Note,5-Year,912828EG1,No,13000000000
2005-09-08,Note,9-Year 11-Month,912828EE6,Yes,8000000000
2005-09-28,Note,2-Year,912828EH9,No,20000000000
2005-10-12,Note,5-Year,912828EJ5,No,13000000000
2005-10-26,Note,2-Year,912828EK2,No,20000000000
2005-11-08,Note,3-Year,912828EL0,No,18000000000
2005-11-09,Note,5-Year,912828EM8,No,13000000000
2005-11-10,Note,10-Year,912828EN6,No,13000000000
2005-11-23,Note,2-Year,912828EP1,No,20000000000
2005-12-07,Note,5-Year,912828EQ9,No,13000000000
2005-12-08,Note,9-Year 11-Month,912828EN6,Yes,8000000000
2005-12-29,Note,2-Year,912828ER7,No,20000000000
2006-01-11,Note,5-Year,912828ES5,No,13000000000
2006-01-25,Note,2-Year,912828EU0,No,22000000000
2006-02-07,Note,3-Year,912828EV8,No,21000000000
2006-02-08,Note,10-Year,912828EW6,No,13000000000
2006-02-09,Bond,30-Year,912810FT0,No,14000000000
2006-02-22,Note,2-Year,912828EY2,No,22000000000
2006-02-23,Note,5-Year,912828EX4,No,14000000000
2006-03-09,Note,9-Year 11-Month,912828EW6,Yes,8000000000
2006-03-27,Note,2-Year,912828EZ9,No,22000000000
2006-03-29,Note,5-Year,912828FA3,No,14000000000
2006-04-26,Note,2-Year,912828FC9,No,22000000000
2006-04-27,Note,5-Year,912828FD7,No,14000000000
2006-05-09,Note,3-Year,912828FE5,No,21000000000
2006-05-11,Note,10-Year,912828FF2,No,13000000000
2006-05-24,Note,2-Year,912828FG0,No,22000000000
2006-05-25,Note,5-Year,912828FH8,No,14000000000
2006-06-08,Note,9-Year 11-Month,912828FF2,Yes,8000000000
2006-06-27,Note,2-Year,912828FJ4,No,22000000000
2006-06-28,Note,5-Year,912828FK1,No,14000000000
2006-07-26,Note,2-Year,912828FM7,No,22000000000
2006-07-27,Note,5-Year,912828FN5,No,14000000000
2006-08-07,Note,3-Year,912828FP0,No,21000000000
2006-08-09,Note,10-Year,912828FQ8,No,13000000000
2006-08-10,Bond,29-Year 6-Month,912810FT0,Yes,10000000000
2006-08-29,Note,2-Year,912828FR6,No,22000000000
2006-08-30,Note,5-Year,912828FS4,No,14000000000
2006-09-12,Note,9-Year 11-Month,912828FQ8,Yes,8000000000
2006-09-27,Note,2-Year,912828FT2,No,20000000000
2006-09-28,Note,5-Year,912828FU9,No,14000000000
2006-10-24,Note,2-Year,912828FV7,No,20000000000
2006-10-26,Note,5-Year,912828FW5,No,14000000000
2006-11-08,Note,3-Year,912828FX3,No,19000000000
2006-11-09,Note,10-Year,912828FY1,No,13000000000
2006-11-28,Note,2-Year,912828FZ8,No,20000000000
2006-11-29,Note,5-Year,912828GA2,No,14000000000
2006-12-13,Note,9-Year 11-Month,912828FY1,Yes,8000000000
2006-12-27,Note,2-Year,912828GB0,No,20000000000
2006-12-28,Note,5-Year,912828GC8,No,13000000000
2007-01-24,Note,2-Year,912828GE4,No,20000000000
2007-01-25,Note,5-Year,912828GF1,No,13000000000
2007-02-06,Note,3-Year,912828GG9,No,16000000000
2007-02-07,Note,10-Year,912828GH7,No,13000000000
2007-02-08,Bond,30-Year,912810PT9,No,9000000000
2007-02-21,Note,2-Year,912828GJ3,No,18000000000
2007-02-22,Note,5-Year,912828GK0,No,13000000000
2007-03-13,Note,9-Year 11-Month,912828GH7,Yes,8000000000
